Section,Title,Content
https://www.gov.uk/browse/visas-immigration,Main Page,"Apply to visit, work, study, settle or seek asylum in the UK Check if you need a UK Visa, electronic travel authorisation (ETA) or get access to an eVisa to prove your immigration status if you’re not a British citizen or Irish national Visit for tourism, business or a short stay (up to 6 months), airport transit visas Skilled Worker visa, Graduate visa, other work visas, right to work Student visas for courses, degrees and independent schools Partner, spouse, dependant and family member visas and permits Settled and pre-settled status, EU Settlement Scheme family permit, Frontier Worker permit Find the right visa, Ukraine Family Scheme visa, Ukraine Sponsorship Scheme visa, Homes for Ukraine BNO visa, right of abode, UK Ancestry visa Ways to settle in the UK, indefinite leave to remain (ILR) and routes to British citizenship Claiming asylum as a refugee, the asylum process and support Appeal against a visa, settlement or asylum decision, immigration status problems Moving your belongings, going through customs and tax"
https://www.gov.uk/browse/visas-immigration/what-you-need-to-do,What you need to do,"Check if you need a UK Visa, electronic travel authorisation (ETA) or get access to an eVisa to prove your immigration status if you’re not a British citizen or Irish national"
https://www.gov.uk/browse/visas-immigration/tourist-short-stay-visas,Visit the UK,"Visit for tourism, business or a short stay (up to 6 months), airport transit visas"
https://www.gov.uk/browse/visas-immigration/work-visas,Work in the UK,"Skilled Worker visa, Graduate visa, other work visas, right to work"
https://www.gov.uk/browse/visas-immigration/student-visas,Study in the UK,"Student visas for courses, degrees and independent schools"
https://www.gov.uk/browse/visas-immigration/family-visas,Family in the UK,"Partner, spouse, dependant and family member visas and permits"
https://www.gov.uk/visit-uk-holiday-family-friends,Visit the UK for a holiday or to see family or friends,"Find out what you need to do if you’re visiting the UK for a holiday or to see family or friends. You must meet the Standard Visitor eligibility requirements even if you do not need a visa. Depending on the country you're from, you might be able to visit the UK without a visa or by applying for an electronic travel authorisation. There's a different way to apply if: You may be able to visit on a family permit if you have a family member who is: Apply for an electronic travel authorisation (ETA) if you're a national of:"
https://www.gov.uk/come-uk-married,Come to the UK to get married,Find out what you need to do if you’re coming to the UK to get married. The visa you need depends on who you’re marrying and whether you want to live in the UK after. You can apply for either: You can apply for a family permit if you're marrying someone who is a citizen of:
https://www.gov.uk/browse/births-deaths-marriages,No Title,"Parenting, civil partnerships, divorce and Lasting Power of Attorney Birth certificates, registering a death, marriage, family history and correcting certificates Information about eligibility, claiming and when Child Benefit stops Reporting a death, wills, probate and Inheritance Tax Legal rights, birth certificates, parental rights and child maintenance Includes dealing with benefits, taxes and leaving care Includes getting married abroad, decree absolutes and looking after children"
https://www.gov.uk/browse/births-deaths-marriages/register-offices,"Certificates, register offices, changes of name or gender","Birth certificates, registering a death, marriage, family history and correcting certificates"
https://www.gov.uk/when-someone-dies,What to do when someone dies: step by step,"Check what to do after a death - how to register the death, notify government departments and deal with the estate. This step by step is also available as aWelsh (Cymraeg) guide. Check what to do if: The Tell Us Once service allows you to inform all the relevant government departments when someone dies. You'll also need to tell banks, utility companies, and landlords or housing associations yourself. You might be eligible for financial help. Check if you can get: Your tax, benefit claims and pension might change depending on your relationship with the person who died. Get help with managing grief and the things you need to do when someone dies. If your right to live in the UK depends on your relationship with someone who died you might need to apply for a new visa. Check the rules if: To find out if there’s Inheritance Tax to pay, you need to estimate the value of the property, money and possessions (the ‘estate’) of the person who died. You might need to apply for probate before you can deal with the property, money and possessions (the ‘estate’) of the person who died. Pay any debts or taxes owed by the person who's died. You can then distribute the estate as set out in the will or the law."
https://www.gov.uk/browse/births-deaths-marriages/child,Child Benefit,"Information about eligibility, claiming and when Child Benefit stops"
https://www.gov.uk/browse/births-deaths-marriages/death,Death and bereavement,"Reporting a death, wills, probate and Inheritance Tax"
https://www.gov.uk/browse/births-deaths-marriages/child-adoption,"Having a child, parenting and adoption","Legal rights, birth certificates, parental rights and child maintenance"
https://www.gov.uk/get-tax-free-childcare,Get Tax-Free Childcare: step by step,"Check if you’re eligible for Tax-Free Childcare, how to apply and how to pay your childcare provider. Your tax credits will stop immediately if you successfully apply for Tax-Free Childcare. You (and your partner, if you have one) will also have to cancel your Universal Credit and childcare vouchers. Before you apply, check if it's the right option for you. There's one application for Tax-Free Childcare and free childcare if you're working. As part of your application, you will find out if you can get both. If you're eligible you'll get a childcare account. You can use this to pay your childcare provider. You must confirm your details are up to date every 3 months."
https://www.gov.uk/browse/childcare-parenting,No Title,"Includes giving birth, fostering, adopting, benefits for children, childcare and schools Working, time off and financial support when you have a baby, registering a birth Fostering or adopting a child, including from abroad, and being a surrogate mother Includes help when having a baby or adopting, child benefit and tax credits, support for childcare Finding childcare, financial support for childcare and childcare for school-age children Sending a child to school, financial support, dealing with the school Child maintenance and disagreements about parentage"
https://www.gov.uk/browse/childcare-parenting/pregnancy-birth,Pregnancy and birth,"Working, time off and financial support when you have a baby, registering a birth"
https://www.gov.uk/browse/childcare-parenting/fostering-adoption-surrogacy,"Fostering, adoption and surrogacy","Fostering or adopting a child, including from abroad, and being a surrogate mother"
https://www.gov.uk/browse/childcare-parenting/financial-help-children,Financial help if you have children,"Includes help when having a baby or adopting, child benefit and tax credits, support for childcare"
https://www.gov.uk/browse/childcare-parenting/childcare,Childcare,"Finding childcare, financial support for childcare and childcare for school-age children"
https://www.gov.uk/get-childcare,Get childcare: step by step,"How to find childcare, get help paying for it and what to do if your circumstances change. You can only get help with 'approved childcare'. You can get help with childcare costs for children under 18. You might be able to apply for: You could also get free childcare when your child is aged 9 months to 4 years. You might be able to apply for: You can only get childcare vouchers if you have already joined a scheme. Tell government straight away if your circumstances change and you're getting: If you're getting free childcare if you're working or Tax-Free Childcare you have to confirm if your details are up to date every 3 months. Your eligibility for support with childcare costs might also change. You might be able to use help like tax credits or Tax-Free Childcare to pay for childcare like wraparound care, after school clubs or other activities."
https://www.gov.uk/get-tax-free-childcare?step-by-step-nav=f237ec8e-e82c-4ffa-8fba-2a88a739783b,Get Tax-Free Childcare: step by step,"Check if you’re eligible for Tax-Free Childcare, how to apply and how to pay your childcare provider. Your tax credits will stop immediately if you successfully apply for Tax-Free Childcare. You (and your partner, if you have one) will also have to cancel your Universal Credit and childcare vouchers. Before you apply, check if it's the right option for you. There's one application for Tax-Free Childcare and free childcare if you're working. As part of your application, you will find out if you can get both. If you're eligible you'll get a childcare account. You can use this to pay your childcare provider. You must confirm your details are up to date every 3 months."
https://www.gov.uk/browse/childcare-parenting/schools-education,Schools and education,"Sending a child to school, financial support, dealing with the school"
https://www.gov.uk/browse/childcare-parenting/divorce-separation-legal,"Divorce, separation and legal issues",Child maintenance and disagreements about parentage
https://www.gov.uk/get-free-childcare-if-youre-working,Get free childcare if you're working: step by step,"How to apply and get a code for free childcare for your child aged 9 months to 4-years old if you’re working. Getting free childcare might affect how much you get in tax credits. There's one application for free childcare if you're working and Tax-Free Childcare. As part of your application, you'll find out if you can get both. If you're eligible you'll get a childcare account and a code for free childcare. Give the code in your childcare account to your provider along with: You must confirm your details are up to date every 3 months or your code will expire."
https://www.gov.uk/browse/births-deaths-marriages/lasting-power-attorney,"Lasting power of attorney, being in care and managing finances","Includes dealing with benefits, taxes and leaving care"
https://www.gov.uk/browse/births-deaths-marriages/marriage-divorce,"Marriage, civil partnership and divorce","Includes getting married abroad, decree absolutes and looking after children"
https://www.gov.uk/apply-marriage-visitor-visa?step-by-step-nav=b86a99b4-40be-4c12-a61c-9fac22e53ddc,Apply for a Marriage Visitor visa: step by step,"Check what you need to do before you can apply for a Marriage Visitor visa and what to do when you arrive in the UK. You should get a decision within 3 weeks of your appointment. You might be able to pay an extra £500 for a decision within 5 working days or £1,000 for a decision within 24 hours (not including weekends or bank holidays). Check with your visa application centre. At your appointment you’ll have your fingerprints and photograph (‘biometric information’) taken. After your appointment you'll be told when a decision has been made about your visa. Keep the documents that prove why you're visiting the UK in your hand luggage so you can show them if asked. Check your visa to find out when you must leave the UK. If you break the conditions of your visa you may not be able to return to the UK again."
https://www.gov.uk/browse/visas-immigration/eu-eea-swiss,"EU, EEA and Swiss citizens","Settled and pre-settled status, EU Settlement Scheme family permit, Frontier Worker permit"
https://www.gov.uk/browse/visas-immigration/ukrainian-nationals,Ukrainians and their families,"Find the right visa, Ukraine Family Scheme visa, Ukraine Sponsorship Scheme visa, Homes for Ukraine"
https://www.gov.uk/browse/visas-immigration/commonwealth-british-nationals-overseas,Commonwealth citizens and British nationals (overseas),"BNO visa, right of abode, UK Ancestry visa"
https://www.gov.uk/browse/visas-immigration/settle-in-the-uk,Live permanently in the UK,"Ways to settle in the UK, indefinite leave to remain (ILR) and routes to British citizenship"
https://www.gov.uk/browse/visas-immigration/asylum,Seek protection or asylum,"Claiming asylum as a refugee, the asylum process and support"
https://www.gov.uk/browse/visas-immigration/immigration-appeals,Immigration appeals and status problems,"Appeal against a visa, settlement or asylum decision, immigration status problems"
https://www.gov.uk/browse/visas-immigration/arriving-in-the-uk,Travelling to the UK,"Moving your belongings, going through customs and tax"
https://www.gov.uk/bring-your-pet-to-great-britain,Bring your pet to Great Britain: step by step,"What you need to do if you’re entering or returning to Great Britain (England, Wales and Scotland) with your pet dog, cat or ferret. There’s adifferent process for other animals. Check the rules on pet travel into Northern Ireland. You must wait for a set period of time after vaccination before you can travel. Depending on the country you're travelling from, you might also need to get a blood test. If you have a dog, you may also need to get tapeworm treatment before you travel."
